iter	F1	Logloss
0	0.6981223637	0.6671131526
1	0.7021020802	0.6475266573
2	0.6750535757	0.6322152208
3	0.6777944783	0.6194503261
4	0.6801307035	0.609658769
5	0.6821547502	0.6007049212
6	0.6821017934	0.5944947547
7	0.6963193679	0.5888657289
8	0.7029041662	0.5839088693
9	0.7034544305	0.5798552497
10	0.6968418652	0.5762588288
11	0.6978247642	0.573499414
12	0.694959186	0.5710895468
13	0.6951913033	0.5665610642
14	0.6983571646	0.5639503746
15	0.697260486	0.5619006488
16	0.6970636089	0.5605348581
17	0.6992704674	0.5591644999
18	0.7026756497	0.5562214133
19	0.7056970535	0.5542280618
20	0.7075576709	0.5522336506
21	0.7110805861	0.5507606063
22	0.7121947491	0.5490795703
23	0.7126015795	0.5481675866
24	0.7134842182	0.5464915973
25	0.714503004	0.5454261258
26	0.7139862006	0.5445621825
27	0.7171621056	0.5425456095
28	0.7200424983	0.5413059289
29	0.7231467474	0.5400325327
30	0.7234139144	0.5391335118
31	0.7236215112	0.536727675
32	0.7235396621	0.5355903515
33	0.7271563571	0.5350891456
34	0.7256670566	0.5339504756
35	0.7261801277	0.533193422
36	0.7260227402	0.5326481511
37	0.7269085412	0.5315525788
38	0.7285228561	0.5301546816
39	0.7307287754	0.5296186855
40	0.7311116955	0.5288414714
41	0.731355614	0.5280308803
42	0.7325900064	0.5259929531
43	0.7333158073	0.5248135192
44	0.7369881506	0.5220321021
45	0.7370275945	0.5215055205
46	0.7381620812	0.5209092872
47	0.7380676075	0.5204627081
48	0.7381469553	0.5200519348
49	0.7396121884	0.518595019
50	0.7404828748	0.51810599
51	0.7401191324	0.517663079
52	0.7408017984	0.5171763742
53	0.7408296452	0.5166187957
54	0.740804684	0.5162453274
55	0.7445637936	0.5128638094
56	0.7449659406	0.512280024
57	0.744539767	0.5120599573
58	0.7445419761	0.5111617094
59	0.7448715545	0.5107683587
60	0.7450524738	0.5104231333
61	0.7451832971	0.510175227
62	0.7452038369	0.5098511903
63	0.7455825097	0.5095363175
64	0.7462082912	0.5090371333
65	0.7485410744	0.5060893943
66	0.7490373472	0.5056677533
67	0.7489065829	0.5053656758
68	0.7490933563	0.5049932925
69	0.7493082043	0.5046567621
70	0.7489425416	0.5041940598
71	0.7496255243	0.5038457734
72	0.7496815764	0.5031149098
73	0.750355672	0.502493393
74	0.7503744757	0.5021636055
75	0.7509360491	0.5019021574
76	0.7512549637	0.5015497178
77	0.751573741	0.5011828001
78	0.7518272799	0.5009570942
79	0.752743754	0.500094781
80	0.7531659798	0.4997816732
81	0.7537372148	0.4993401651
82	0.754047976	0.4990232894
83	0.7544905689	0.4986103272
84	0.7545782047	0.4982383653
85	0.7551418706	0.4971186067
86	0.757250993	0.4955794689
87	0.7571155361	0.4951890292
88	0.7573915654	0.4949395087
89	0.7571584043	0.4947030549
90	0.7580282113	0.4944024408
91	0.7594092068	0.4936134216
92	0.7599805076	0.4931157449
93	0.7601334883	0.4927890557
94	0.7603479304	0.4925559277
95	0.7602549681	0.4923910736
96	0.7606690167	0.491648533
97	0.761054645	0.4906906251
98	0.76098293	0.4903844006
99	0.7611755433	0.490140897
