iter	Passed	Remaining
0	64	6402
1	69	3418
2	74	2402
3	78	1890
4	82	1576
5	89	1394
6	93	1238
7	97	1121
8	102	1034
9	107	964
10	111	901
11	115	845
12	119	800
13	124	762
14	128	727
15	132	694
16	136	666
17	140	640
18	144	617
19	148	595
20	153	576
21	157	557
22	161	541
23	165	525
24	170	510
25	174	496
26	178	483
27	183	471
28	187	458
29	191	446
30	195	435
31	199	424
32	203	413
33	207	403
34	212	394
35	216	384
36	220	375
37	224	366
38	228	357
39	232	349
40	237	341
41	241	333
42	245	325
43	250	318
44	254	310
45	258	303
46	262	295
47	267	289
48	271	282
49	275	275
50	279	268
51	284	262
52	288	255
53	292	248
54	296	242
55	301	236
56	305	230
57	309	224
58	314	218
59	318	212
60	322	206
61	326	200
62	330	194
63	335	188
64	339	182
65	343	177
66	348	171
67	352	165
68	356	160
69	360	154
70	365	149
71	369	143
72	373	138
73	377	132
74	382	127
75	386	122
76	390	116
77	394	111
78	398	105
79	403	100
80	407	95
81	411	90
82	415	85
83	419	79
84	423	74
85	427	69
86	432	64
87	436	59
88	441	54
89	445	49
90	450	44
91	454	39
92	458	34
93	462	29
94	466	24
95	470	19
96	475	14
97	479	9
98	483	4
99	487	0
